type,year,code,name,value
revenue,1990,,"Gesamteinnahmen",4712682.1473899996
revenue,1991,,"Gesamteinnahmen",5264189.2443399997
revenue,1992,,"Gesamteinnahmen",5642877.9914499996
revenue,1993,,"Gesamteinnahmen",5932556.3535099998
revenue,1994,,"Gesamteinnahmen",5973710.1808000002
revenue,1995,,"Gesamteinnahmen",6184576.6283200001
revenue,1996,,"Gesamteinnahmen",6809263.4595299996
revenue,1997,,"Gesamteinnahmen",6786993.6564999996
revenue,1998,,"Gesamteinnahmen",7151300.2497399999
revenue,1999,,"Gesamteinnahmen",7210511.6558600003
revenue,2000,,"Gesamteinnahmen",7710405.2569199996
revenue,2001,,"Gesamteinnahmen",7829189.4974499997
revenue,2002,,"Gesamteinnahmen",8286364.8647600003
revenue,2003,,"Gesamteinnahmen",8472764.9398299996
revenue,2004,,"Gesamteinnahmen",8414928.5653200001
revenue,2005,,"Gesamteinnahmen",8938746.5303000007
revenue,2006,,"Gesamteinnahmen",8904898.7945000008
revenue,2007,,"Gesamteinnahmen",9636001.60145
revenue,2008,,"Gesamteinnahmen",9896343.0175899994
revenue,2009,,"Gesamteinnahmen",10108006.74962
revenue,2010,,"Gesamteinnahmen",10310017.883269999
revenue,2011,,"Gesamteinnahmen",10505118.071459999
revenue,2012,,"Gesamteinnahmen",10731495.93086
revenue,2013,,"Gesamteinnahmen",10872434.647120001
revenue,1990,0,"Allgemeine Verwaltung",44646.231440000003
revenue,1991,0,"Allgemeine Verwaltung",56254.343399999998
revenue,1992,0,"Allgemeine Verwaltung",61192.79305
revenue,1993,0,"Allgemeine Verwaltung",74784.244309999995
revenue,1994,0,"Allgemeine Verwaltung",43768.449589999997
revenue,1995,0,"Allgemeine Verwaltung",63921.100429999999
revenue,1996,0,"Allgemeine Verwaltung",75898.147459999993
revenue,1997,0,"Allgemeine Verwaltung",76042.773279999994
revenue,1998,0,"Allgemeine Verwaltung",105706.13937999999
revenue,1999,0,"Allgemeine Verwaltung",117426.97276
revenue,2000,0,"Allgemeine Verwaltung",113280.92196000001
revenue,2001,0,"Allgemeine Verwaltung",125639.9188
revenue,2002,0,"Allgemeine Verwaltung",144005.54775999999
revenue,2003,0,"Allgemeine Verwaltung",131597.23937
revenue,2004,0,"Allgemeine Verwaltung",114302.28186
revenue,2005,0,"Allgemeine Verwaltung",143580.11941000001
revenue,2006,0,"Allgemeine Verwaltung",139346.39436000001
revenue,2007,0,"Allgemeine Verwaltung",150901.45444
revenue,2008,0,"Allgemeine Verwaltung",164462.64212999999
revenue,2009,0,"Allgemeine Verwaltung",125329.62940999999
revenue,2010,0,"Allgemeine Verwaltung",135447.11061
revenue,2011,0,"Allgemeine Verwaltung",92038.995219999997
revenue,2012,0,"Allgemeine Verwaltung",279248.58603000001
revenue,2013,0,"Allgemeine Verwaltung",132330.45881000001
revenue,1990,01,"Legislative und Exekutive",227.38310000000001
revenue,1991,01,"Legislative und Exekutive",201.48034999999999
revenue,1992,01,"Legislative und Exekutive",353.19074999999998
revenue,1993,01,"Legislative und Exekutive",251.90854999999999
revenue,1994,01,"Legislative und Exekutive",217.17859999999999
revenue,1995,01,"Legislative und Exekutive",198.93680000000001
revenue,1996,01,"Legislative und Exekutive",213.80005
revenue,1997,01,"Legislative und Exekutive",217.09965
revenue,1998,01,"Legislative und Exekutive",180.1183
revenue,1999,01,"Legislative und Exekutive",151.74574999999999
revenue,2000,01,"Legislative und Exekutive",150.40010000000001
revenue,2001,01,"Legislative und Exekutive",132.38560000000001
revenue,2002,01,"Legislative und Exekutive",109.5063
revenue,2003,01,"Legislative und Exekutive",123.63045
revenue,2004,01,"Legislative und Exekutive",114.16615
revenue,2005,01,"Legislative und Exekutive",117.28830000000001
revenue,2006,01,"Legislative und Exekutive",133.36539999999999
revenue,2007,01,"Legislative und Exekutive",148.56059999999999
revenue,2008,01,"Legislative und Exekutive",152.79599999999999
revenue,2009,01,"Legislative und Exekutive",172.98670000000001
